Country,Year,Population - Both Sexes (Thousand),Food Price Inflation (%),,Total Meat Production (Tonnes),Total Cereal Production (Tonnes),Total Egg Production (Tonnes),Total Pulses Production (Tonnes),Oil Crops Production (Tonnes),Vegetable Crops Production (Tonnes),,Number of people undernourished (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Prevalence of undernourishment (percent),Average dietary energy supply adequacy (percent) ,Enteric Fermentation (Kilotonnes),Crop Residues (Kilotonnes),Manure left on Pasture (Kilotonnes),Temperature Change (°C),Mean Temperature,Rainfall (mm)
Myanmar,2015,52681,7.960892,3001613,401747,28634816,561594,2521469,4528177,1157055,5095662,4.5,12.1,43,8.1,122,30149.3507,2085.9844,5186.2911,0.581,23.52,1946.75
Myanmar,2016,53045,11.586315,3076661,448241,28109553,595367,2465417,4505684,1137219,4845144,4.3,6.6,22,7.8,123,31335.0363,2065.5405,5374.6176,0.727,23.75,2227.96
Myanmar,2017,53383,9.729769,3179212,445963,29010461,614490,2565274,4102694,1052645,4756261,4.2,6.8,14,7.6,123,32393.1539,2128.358,5641.5093,0.624,23.53,2265.4
Myanmar,2018,53708,4.631055,3464663,450951,30021245,631000,2771730,3765932,1018289,4783238,4.1,,15,,123,33875.4245,2193.112,6018.8452,0.702,23.29,2018.12
Myanmar,2019,54045,6.789078,3355294,483211,28682554,635000,2706116,4026334,1040432,4781922,4.3,,19,,,35404.7239,2124.4707,6359.185,0.586,23.84,1847.63
Philippines,2000,77652,,2078811,261772,16901159,296845,10880523,57232,1754782,4937541,14.9,,38,18.7,110,9216.7879,1111.7677,2065.1763,0.671,25.79,2918.13
Philippines,2001,79298,4.865557,2180234,255165,17480299,300613,11330221,57016,1783681,5045429,15,10.2,38,18.4,110,9305.8139,1136.7036,2075.5012,0.716,25.85,2667.03
Philippines,2002,80954,1.709402,2294369,262471,17590069,314463,11771020,56310,1914658,5185590,14.2,7.4,28,17.1,111,9485.075,1137.498,2123.9858,0.754,25.73,2255.94
Philippines,2003,82605,0.480192,2350957,259261,18115690,328857,12036999,55411,1947418,5412557,13.7,5.2,25,16.2,112,9634.9478,1154.1726,2144.8555,0.423,25.61,2599.56
Philippines,2004,84231,3.345281,2354913,258949,19910353,353169,12271881,55857,1957343,5028418,12.9,0.9,19,14.9,114,9814.5385,1238.1664,2177.281,0.578,25.7,2272.52
Philippines,2005,85821,7.630058,2388049,249865,19856348,373554,13012071,55871,2017125,5341645,12.3,1.1,23,14,115,9800.6185,1228.9637,2225.3903,0.925,25.8,2393.55
Philippines,2006,87367,5.585392,2560970,251822,21408902,380315,13328845,55620,2038424,5200638,11.7,0.7,23,13.1,116,9568.3801,1300.5115,2029.4419,0.779,25.86,2343.9
Philippines,2007,88876,4.170905,2748205,288243,22977304,382094,14537178,58798,2033979,5656345,11.4,1.2,30,12.6,117,9655.4564,1374.8603,2030.8795,0.914,25.85,2569.5
Philippines,2008,90371,6.835938,2806004,285979,23744012,393348,15817104,61570,2105427,5746261,11.8,4.1,41,12.8,117,9595.39,1423.4642,2065.8348,0.775,25.52,2939.9
Philippines,2009,91886,11.334552,2845929,288360,23300701,408081,16086282,60362,2161738,5837266,12.6,5.8,31,13.4,116,9617.8068,1413.1995,2081.2569,0.964,25.56,2650.84
Philippines,2010,93444,5.00821,2906248,300005,22149369,424011,16188642,60199,2151646,5960217,13.1,5.3,28,13.7,115,9508.2484,1347.4435,2064.8985,1.422,25.83,2430.87
Philippines,2011,95053,4.847537,2965263,300603,23655648,441112,16249937,66791,2111873,6098582,13.3,4.4,22,13.7,115,9066.4672,1425.1441,1991.4952,1.05,25.63,3128.48
Philippines,2012,96707,3.206562,3077157,294983,25440477,460532,16486774,67615,2190074,6300452,13.7,3.3,41,13.8,115,8826.8863,1510.9414,1950.9952,1.076,25.93,2764.45
Philippines,2013,98394,2.836879,3168815,296876,25817440,468761,16016301,67984,2111276,6323128,13.9,4,42,13.8,115,8750.1865,1530.6435,1936.8289,1.151,25.94,2533.23
Philippines,2014,100513,4.53202,3215917,301468,26739122,457162,16376994,67417,2017908,6429758,13.6,3.9,38,13.3,115,8667.2588,1566.8354,1931.3337,,25.78,2345.38
Philippines,2015,102113,4.524034,3376237,304681,25669247,486954,16628306,64024,2021925,6520185,12.5,4.9,43,12.1,117,8711.3535,1515.7101,1943.3657,,26.02,2249.93
Philippines,2016,103664,0.901713,3380957,275129,24846678,505879,16306791,67285,1904819,6492181,11.4,6.1,34,10.9,120,8785.7265,1472.2214,1958.9926,,26.36,2362.35
Philippines,2017,105173,2.5916,3290408,238716,27191819,537838,16566470,68043,1942130,6631387,10.3,8.3,34,9.7,122,8791.042,1590.2813,1976.7177,,25.91,2928.63
Philippines,2018,106651,4.355401,3317834,203227,26838577,580516,16796494,68702,2035690,6549745,10.1,,33,9.4,123,8808.3476,1574.5368,1963.3387,,26.11,2596.05
Philippines,2019,108117,5.592654,3368247,200643,26794251,632803,16644308,68852,2040475,6622450,10.1,,44,,,8778.0756,1558.0572,1981.6762,,26.18,2286.55
Singapore,2000,,,112645,37,,17200,10,,18,11700,,,,,,0.3397,,4.7649,,27.46,2433
Singapore,2001,,0.545387,115104,39,,17200,9,,16,12800,,3,,,,0.3688,,5.0238,,27.57,2414.4
Singapore,2002,,0.446973,116641,42,,22863,9,,17,14000,,2.5,,,,0.3408,,6.2572,,27.91,1966.9
Singapore,2003,,0.050566,110058,40,,24709,14,,17,16509,,2.5,,,,0.3543,,6.7659,,27.61,2587.6
Singapore,2004,,0.727787,92349,44,,23909,13,,16,17771,,2.4,,,,0.3543,,6.5318,,27.59,2209.4
Singapore,2005,,-1.63604,101317,41,,21811,9,,16,18854,,1.6,,,,0.3753,,6.3531,,27.59,2090.1
Singapore,2006,,3.128768,96353,42,,22455,9,,18,20700,,1.3,,,,0.3671,,6.4088,,27.43,2364.6
Singapore,2007,,1.970289,107604,42,,23605,9,,18,19027,,1.1,,,,0.3537,,6.9951,,27.42,2560.4
